epoch,step,train_loss_epoch,train_loss_step,val_loss,val_mse,val_pearson
0,0,,,7594.02392578125,3429601.25,-0.02709788642823696
0,49,,77486.4921875,,,
0,99,,1041.232421875,,,
0,149,,1481.9835205078125,,,
0,199,,814.509765625,,,
0,249,,824.0690307617188,,,
0,299,,1028.763671875,,,
0,349,,1446.244384765625,,,
0,374,,,797.7496337890625,2229397.75,0.059321314096450806
0,374,8.27301329555031e+20,,,,
1,399,,568.2221069335938,,,
1,449,,488.424072265625,,,
1,499,,1038.35986328125,,,
1,549,,1109.46142578125,,,
1,599,,550.6063232421875,,,
1,649,,790.4051513671875,,,
1,699,,836.2484741210938,,,
1,749,,770.835205078125,,,
1,749,,,785.3101196289062,2197499.0,0.0678294450044632
1,749,863.30126953125,,,,
2,799,,1167.1142578125,,,
2,849,,941.74462890625,,,
2,899,,878.9837646484375,,,
2,949,,755.6411743164062,,,
2,999,,970.9379272460938,,,
2,1049,,754.6529541015625,,,
2,1099,,719.8048095703125,,,
2,1124,,,799.7213745117188,2224958.75,0.0700371190905571
2,1124,874.4292602539062,,,,
3,1149,,676.6038818359375,,,
3,1199,,901.829345703125,,,
3,1249,,893.2996215820312,,,
3,1299,,801.5090942382812,,,
3,1349,,1052.6875,,,
3,1399,,951.2362060546875,,,
3,1449,,1344.7855224609375,,,
3,1499,,835.923583984375,,,
3,1499,,,1083.8778076171875,3268712.75,0.061379410326480865
3,1499,886.521728515625,,,,
4,1549,,630.9632568359375,,,
4,1599,,1065.7957763671875,,,
4,1649,,706.4453125,,,
4,1699,,1561.657470703125,,,
4,1749,,663.59521484375,,,
4,1799,,965.607666015625,,,
4,1849,,764.9110717773438,,,
4,1874,,,789.381103515625,2205413.25,0.0705098882317543
4,1874,845.7589721679688,,,,
5,1899,,667.5614624023438,,,
5,1949,,1202.1063232421875,,,
5,1999,,822.3923950195312,,,
5,2049,,645.4452514648438,,,
5,2099,,1059.77880859375,,,
5,2149,,694.001708984375,,,
5,2199,,735.0448608398438,,,
5,2249,,781.0992431640625,,,
5,2249,,,870.0852661132812,2451056.25,0.05742260068655014
5,2249,867.951416015625,,,,
6,2299,,511.2478942871094,,,
6,2349,,631.769287109375,,,
6,2399,,848.7537841796875,,,
6,2449,,761.5681762695312,,,
6,2499,,591.7100219726562,,,
6,2549,,1249.727294921875,,,
6,2599,,886.8828735351562,,,
6,2624,,,801.4807739257812,2246034.25,0.0727735161781311
6,2624,860.8535766601562,,,,
7,2649,,1696.157958984375,,,
7,2699,,881.536865234375,,,
7,2749,,553.4713745117188,,,
7,2799,,614.387939453125,,,
7,2849,,971.2718505859375,,,
7,2899,,681.5576782226562,,,
7,2949,,929.9973754882812,,,
7,2999,,607.7550659179688,,,
7,2999,,,804.6199951171875,2250289.0,0.06099970266222954
7,2999,844.3273315429688,,,,
8,3049,,1124.4454345703125,,,
8,3099,,688.6136474609375,,,
8,3149,,648.6588134765625,,,
8,3199,,1498.8670654296875,,,
8,3249,,943.9824829101562,,,
8,3299,,828.5134887695312,,,
8,3349,,729.1148071289062,,,
8,3374,,,780.7772216796875,2189367.75,0.06207473948597908
8,3374,852.7391967773438,,,,
9,3399,,784.76025390625,,,
9,3449,,784.036865234375,,,
9,3499,,831.943359375,,,
9,3549,,659.3226318359375,,,
9,3599,,818.657470703125,,,
9,3649,,571.4540405273438,,,
9,3699,,537.9471435546875,,,
9,3749,,599.3617553710938,,,
9,3749,,,841.5648803710938,2294627.25,0.07817944884300232
9,3749,859.2581787109375,,,,
